Num,Func,Add,SubAdd,Len,Value,Res,Note
1,PP段速度,0x6081,0x0,32,800000,未执行,null
2,PP段加速度,0x6083,0x0,32,10000000,未执行,null
3,PP段减速度,0x6084,0x0,32,10000000,未执行,null
4,最大速度限制,0x6080,0x0,32,1000,未执行,不能为零，单位：mm
5,预压位置,0x5010,0x4,32,28000,未执行,执行柔性力控的位置
6,第一段力控参数,0x501E,0x1,16,0,未执行,只有一段，写0
7,力控给定,0x501E,0x2,32,30000,未执行,单位:0.01g
8,力控段最大速度,0x501E,0x4,32,10000,未执行,单位:pulse/s
9,力控段加速时间,0x501E,0x5,16,50,未执行,单位ms
10,力控段减速时间,0x501E,0x6,16,50,未执行,单位ms
11,质量系数,0x501E,0x7,32,10,未执行,力抖动时增加
12,阻尼参数,0x501E,0x8,32,20,未执行,加大增加下压速度，会引起力超调
13,自动返回模式,0x501F,0x1,16,1,未执行,保压时间后自动返回写1
14,保压时间,0x501F,0x2,32,2000,未执行,单位ms
15,返回位置,0x501F,0x3,32,2000,未执行,pulse
16,质量系数,0x501F,0x7,32,5,未执行,null
17,阻尼系数,0x501F,0x8,32,1000,未执行,null
18,柔性力控段数,0x501D,0x2,16,1,未执行,只有1段写1
19,正限位,0x501D,0x3,32,160000,未执行,单位pulse
20,负限位,0x501D,0x4,32,-4000,未执行,单位pulse
21,超时时间,0x501D,0x6,32,10000,未执行,ms
